
qid,query,gold_doc_url,gold_span,reference_answer
gchunk011,How high is Mount Everest?,https://www.britannica.com/place/Mount-Everest,"Britannica reports that China and Nepal jointly announced in 2020 that Mount Everest’s elevation is 29,031.69 feet (8,848.86 meters), and the quick facts section lists the height as 29,032 feet (8,849 meters).","Mount Everest’s elevation is about 29,031.69 feet (8,848.86 meters), making it the highest mountain in the world."
gchunk012,Why is Mars called the Red Planet?,https://www.britannica.com/place/Mars-planet,"A Britannica article explains that Mars appears red because its dust and rocks contain iron oxide (rust), giving the planet its reddish colour.","Mars is called the Red Planet because its dust and rocks contain iron oxide (rust), which gives it a reddish colour."
gchunk013,What is the official currency of Japan?,https://www.oanda.com/currency-converter/en/currencies/majors/jpy/,The Oanda currency converter page notes that the Japanese yen (JPY) is the official currency of Japan and is represented by the symbol ¥.,"Japan’s official currency is the Japanese yen (JPY), symbol ¥."
gchunk014,When did the Titanic sink?,https://www.history.com/this-day-in-history/april-15/titanic-sinks,"History.com states that at 2:20 a.m. on April 15, 1912, the British ocean liner Titanic sank into the North Atlantic Ocean about 400 miles south of Newfoundland, Canada, after striking an iceberg.","The Titanic sank at about 2:20 a.m. on April 15, 1912, after hitting an iceberg in the North Atlantic."
gchunk015,Who painted the Mona Lisa?,https://www.britannica.com/topic/Mona-Lisa-painting,"Britannica’s Mona Lisa article notes that the Mona Lisa is an oil painting on a poplar wood panel by Leonardo da Vinci, painted sometime between 1503 and 1519.",The Mona Lisa was painted by Leonardo da Vinci between 1503 and 1519.
gchunk016,When was Google Inc. founded?,https://about.google/company-info/our-story/,"Google’s company history page explains that in August 1998, Sun co-founder Andy Bechtolsheim wrote Larry Page and Sergey Brin a check for $100,000, and Google Inc. was officially born.","Google Inc. was officially founded in August 1998, when Sun co‑founder Andy Bechtolsheim invested $100,000."
gchunk017,What is the longest river in the world?,https://www.britannica.com/place/Nile-River,"Britannica notes that the Nile River is the longest river in the world, with a length of about 4,132 miles (6,650 kilometres).","The Nile River is generally considered the longest river in the world, measuring about 4,132 miles (6,650 kilometres)."
gchunk018,Who was the first human to walk on the Moon?,https://www.nasa.gov/history/july-20-1969-one-giant-leap-for-mankind/,"NASA’s account of the Apollo 11 mission recounts that at 10:56 p.m. EDT on July 20, 1969, astronaut Neil Armstrong climbed down the ladder and became the first human to set foot on the Moon, declaring “That’s one small step for a man, one giant leap for mankind.”","Astronaut Neil Armstrong became the first person to walk on the Moon on July 20, 1969."
gchunk019,Which planet is the largest in the solar system?,https://science.nasa.gov/jupiter/,NASA explains that Jupiter is the fifth planet from the Sun and the largest in the solar system—more than twice as massive as all the other planets combined.,"Jupiter is the largest planet in the solar system, more than twice as massive as all the other planets combined."
gchunk020,When is International Men’s Day celebrated?,https://internationalmensday.com/,"The official International Men’s Day site states that on November 19, International Men’s Day celebrates the positive value men bring to the world, their families and communities.",International Men’s Day is celebrated on November 19 each year.
gchunk021,Where is the Mona Lisa displayed?,https://www.britannica.com/topic/Mona-Lisa-painting,"Britannica notes that the Mona Lisa hangs behind bulletproof glass in the Louvre Museum in Paris, where it has been part of the museum’s collection since 1804.",The Mona Lisa is displayed behind bulletproof glass in the Louvre Museum in Paris.
gchunk022,Where did the Titanic sink?,https://www.history.com/this-day-in-history/april-15/titanic-sinks,"The History.com article explains that the Titanic sank into the North Atlantic Ocean about 400 miles south of Newfoundland, Canada, after striking an iceberg.","The Titanic sank in the North Atlantic Ocean, roughly 400 miles south of Newfoundland, Canada."
